,mass A,
t,x,y
7.572,-6.77E-02,-1.79E-01
7.605,-6.89E-02,-1.80E-01
7.639,-6.95E-02,-1.81E-01
7.672,-7.09E-02,-1.83E-01
7.705,-7.10E-02,-1.83E-01
7.739,-7.22E-02,-1.84E-01
7.772,-7.26E-02,-1.85E-01
7.806,-7.34E-02,-1.86E-01
7.839,-7.41E-02,-1.87E-01
7.872,-7.41E-02,-1.88E-01
7.906,-7.47E-02,-1.89E-01
7.939,-7.52E-02,-1.90E-01
7.972,-7.54E-02,-1.91E-01
8.006,-7.58E-02,-1.92E-01
8.039,-7.61E-02,-1.92E-01
8.072,-7.66E-02,-1.94E-01
8.106,-7.68E-02,-1.94E-01
8.139,-7.73E-02,-1.96E-01
8.172,-7.78E-02,-1.97E-01
8.206,-7.80E-02,-1.97E-01
8.239,-7.85E-02,-1.98E-01
8.273,-7.91E-02,-1.99E-01
8.306,-7.97E-02,-2.01E-01
8.339,-8.04E-02,-2.02E-01
8.373,-8.10E-02,-2.03E-01
8.406,-8.16E-02,-2.04E-01
8.439,-8.22E-02,-2.06E-01
8.473,-8.27E-02,-2.07E-01
8.506,-8.30E-02,-2.08E-01
8.539,-8.35E-02,-2.09E-01
8.573,-8.40E-02,-2.10E-01
8.606,-8.42E-02,-2.11E-01
8.639,-8.46E-02,-2.12E-01
8.673,-8.53E-02,-2.14E-01
8.706,-8.54E-02,-2.14E-01
8.74,-8.60E-02,-2.16E-01
8.773,-8.60E-02,-2.17E-01
8.806,-8.61E-02,-2.18E-01
8.84,-8.64E-02,-2.19E-01
8.873,-8.66E-02,-2.20E-01
8.906,-8.67E-02,-2.20E-01
8.94,-8.72E-02,-2.21E-01
8.973,-8.74E-02,-2.22E-01
9.006,-8.77E-02,-2.23E-01
9.04,-8.79E-02,-2.24E-01
9.073,-8.81E-02,-2.25E-01
9.106,-8.83E-02,-2.26E-01
9.14,-8.85E-02,-2.27E-01
9.173,-8.86E-02,-2.27E-01
9.207,-8.87E-02,-2.28E-01
9.24,-8.87E-02,-2.29E-01
9.273,-8.88E-02,-2.31E-01
9.307,-8.87E-02,-2.32E-01
9.34,-8.86E-02,-2.34E-01
9.373,-8.85E-02,-2.35E-01
9.407,-8.85E-02,-2.36E-01
9.44,-8.84E-02,-2.37E-01
