,mass A,
t,x,y
78.222,-8.43E-02,-2.83E-01
78.256,-8.43E-02,-2.83E-01
78.289,-8.43E-02,-2.83E-01
78.323,-8.43E-02,-2.83E-01
78.356,-8.43E-02,-2.83E-01
78.389,-8.43E-02,-2.83E-01
78.423,-8.43E-02,-2.83E-01
78.456,-8.44E-02,-2.83E-01
78.489,-8.44E-02,-2.82E-01
78.523,-8.43E-02,-2.82E-01
78.556,-8.45E-02,-2.82E-01
78.589,-8.43E-02,-2.82E-01
78.623,-8.45E-02,-2.81E-01
78.656,-8.44E-02,-2.81E-01
78.689,-8.45E-02,-2.81E-01
78.723,-8.47E-02,-2.80E-01
78.756,-8.49E-02,-2.80E-01
78.79,-8.49E-02,-2.79E-01
78.823,-8.50E-02,-2.79E-01
78.856,-8.50E-02,-2.79E-01
78.89,-8.54E-02,-2.78E-01
78.923,-8.54E-02,-2.77E-01
78.956,-8.55E-02,-2.77E-01
78.99,-8.57E-02,-2.77E-01
79.023,-8.57E-02,-2.77E-01
79.056,-8.57E-02,-2.77E-01
79.09,-8.61E-02,-2.76E-01
79.123,-8.61E-02,-2.76E-01
79.156,-8.62E-02,-2.76E-01
79.19,-8.63E-02,-2.75E-01
79.223,-8.62E-02,-2.75E-01
79.257,-8.64E-02,-2.75E-01
79.29,-8.65E-02,-2.74E-01
79.323,-8.68E-02,-2.74E-01
79.357,-8.68E-02,-2.74E-01
79.39,-8.69E-02,-2.74E-01
79.423,-8.72E-02,-2.73E-01
79.457,-8.73E-02,-2.72E-01
79.49,-8.75E-02,-2.72E-01
79.523,-8.75E-02,-2.72E-01
79.557,-8.76E-02,-2.71E-01
79.59,-8.78E-02,-2.70E-01
79.623,-8.80E-02,-2.70E-01
79.657,-8.81E-02,-2.69E-01
79.69,-8.82E-02,-2.69E-01
79.724,-8.82E-02,-2.68E-01
79.757,-8.84E-02,-2.67E-01
79.79,-8.86E-02,-2.67E-01
79.824,-8.87E-02,-2.66E-01
79.857,-8.87E-02,-2.66E-01
79.89,-8.88E-02,-2.65E-01
79.924,-8.87E-02,-2.65E-01
79.957,-8.87E-02,-2.64E-01
79.99,-8.88E-02,-2.64E-01
80.024,-8.88E-02,-2.63E-01
80.057,-8.88E-02,-2.63E-01
80.09,-8.87E-02,-2.62E-01
80.124,-8.88E-02,-2.62E-01
80.157,-8.88E-02,-2.61E-01
80.191,-8.88E-02,-2.61E-01
80.224,-8.88E-02,-2.60E-01
80.257,-8.88E-02,-2.60E-01
80.291,-8.89E-02,-2.59E-01
80.324,-8.90E-02,-2.59E-01
80.357,-8.92E-02,-2.58E-01
80.391,-8.93E-02,-2.58E-01
80.424,-8.94E-02,-2.57E-01
80.457,-8.96E-02,-2.56E-01
80.491,-8.96E-02,-2.55E-01
80.524,-8.98E-02,-2.55E-01
80.557,-8.99E-02,-2.54E-01
80.591,-9.00E-02,-2.53E-01
80.624,-9.01E-02,-2.53E-01
80.658,-9.01E-02,-2.52E-01
80.691,-9.01E-02,-2.51E-01
80.724,-9.01E-02,-2.51E-01
80.758,-9.01E-02,-2.50E-01
80.791,-9.02E-02,-2.49E-01
80.824,-9.01E-02,-2.48E-01
80.858,-9.01E-02,-2.48E-01
80.891,-9.01E-02,-2.47E-01
80.924,-9.01E-02,-2.46E-01
80.958,-9.01E-02,-2.45E-01
80.991,-9.00E-02,-2.45E-01
81.024,-9.00E-02,-2.44E-01
81.058,-9.00E-02,-2.44E-01
81.091,-9.00E-02,-2.43E-01
81.125,-8.99E-02,-2.42E-01
81.158,-8.99E-02,-2.42E-01
81.191,-8.99E-02,-2.41E-01
81.225,-8.99E-02,-2.40E-01
81.258,-8.99E-02,-2.40E-01
81.291,-8.98E-02,-2.39E-01
81.325,-8.97E-02,-2.38E-01
81.358,-8.97E-02,-2.38E-01
81.391,-8.96E-02,-2.37E-01
81.425,-8.94E-02,-2.36E-01
81.458,-8.93E-02,-2.35E-01
81.491,-8.92E-02,-2.34E-01
81.525,-8.92E-02,-2.34E-01
81.558,-8.91E-02,-2.33E-01
81.592,-8.91E-02,-2.32E-01
81.625,-8.91E-02,-2.31E-01
81.658,-8.90E-02,-2.31E-01
81.692,-8.90E-02,-2.30E-01
81.725,-8.89E-02,-2.29E-01
81.758,-8.88E-02,-2.28E-01
81.792,-8.87E-02,-2.27E-01
81.825,-8.86E-02,-2.26E-01
81.858,-8.86E-02,-2.26E-01
81.892,-8.85E-02,-2.25E-01
81.925,-8.85E-02,-2.25E-01
81.958,-8.82E-02,-2.23E-01
81.992,-8.81E-02,-2.23E-01
82.025,-8.80E-02,-2.22E-01
82.059,-8.79E-02,-2.22E-01
82.092,-8.77E-02,-2.21E-01
82.125,-8.75E-02,-2.20E-01
82.159,-8.73E-02,-2.19E-01
82.192,-8.73E-02,-2.19E-01
82.225,-8.69E-02,-2.18E-01
82.259,-8.67E-02,-2.17E-01
82.292,-8.63E-02,-2.16E-01
82.325,-8.60E-02,-2.16E-01
82.359,-8.58E-02,-2.15E-01
82.392,-8.55E-02,-2.14E-01
82.425,-8.50E-02,-2.13E-01
82.459,-8.48E-02,-2.12E-01
82.492,-8.45E-02,-2.11E-01
82.526,-8.42E-02,-2.11E-01
82.559,-8.38E-02,-2.10E-01
82.592,-8.35E-02,-2.09E-01
82.626,-8.32E-02,-2.08E-01
82.659,-8.28E-02,-2.08E-01
82.692,-8.24E-02,-2.07E-01
82.726,-8.22E-02,-2.06E-01
82.759,-8.18E-02,-2.06E-01
82.792,-8.17E-02,-2.05E-01
82.826,-8.12E-02,-2.04E-01
82.859,-8.10E-02,-2.04E-01
82.892,-8.06E-02,-2.03E-01
82.926,-8.04E-02,-2.02E-01
82.959,-8.01E-02,-2.02E-01
82.993,-7.98E-02,-2.01E-01
83.026,-7.95E-02,-2.00E-01
83.059,-7.92E-02,-2.00E-01
83.093,-7.89E-02,-1.99E-01
83.126,-7.86E-02,-1.98E-01
83.159,-7.83E-02,-1.98E-01
83.193,-7.79E-02,-1.97E-01
83.226,-7.76E-02,-1.96E-01
83.259,-7.72E-02,-1.96E-01
83.293,-7.68E-02,-1.95E-01
83.326,-7.65E-02,-1.95E-01
83.359,-7.61E-02,-1.94E-01
83.393,-7.56E-02,-1.93E-01
83.426,-7.52E-02,-1.92E-01
83.46,-7.47E-02,-1.92E-01
83.493,-7.43E-02,-1.91E-01
83.526,-7.38E-02,-1.90E-01
83.56,-7.33E-02,-1.89E-01
83.593,-7.27E-02,-1.89E-01
83.626,-7.23E-02,-1.88E-01
83.66,-7.17E-02,-1.88E-01
83.693,-7.12E-02,-1.87E-01
83.726,-7.07E-02,-1.86E-01
83.76,-7.02E-02,-1.86E-01
83.793,-6.98E-02,-1.85E-01
83.826,-6.93E-02,-1.85E-01
83.86,-6.91E-02,-1.85E-01
83.893,-6.86E-02,-1.84E-01
83.927,-6.81E-02,-1.83E-01
83.96,-6.79E-02,-1.83E-01
83.993,-6.75E-02,-1.82E-01
84.027,-6.69E-02,-1.82E-01
84.06,-6.64E-02,-1.82E-01
84.093,-6.60E-02,-1.81E-01
84.127,-6.55E-02,-1.80E-01
84.16,-6.49E-02,-1.80E-01
84.193,-6.48E-02,-1.79E-01
84.227,-6.42E-02,-1.79E-01
84.26,-6.37E-02,-1.78E-01
84.293,-6.31E-02,-1.78E-01
84.327,-6.25E-02,-1.77E-01
84.36,-6.20E-02,-1.76E-01
84.394,-6.13E-02,-1.76E-01
84.427,-6.07E-02,-1.75E-01
84.46,-6.01E-02,-1.75E-01
84.494,-5.95E-02,-1.74E-01
84.527,-5.92E-02,-1.74E-01
84.56,-5.86E-02,-1.73E-01
84.594,-5.81E-02,-1.73E-01
84.627,-5.75E-02,-1.72E-01
84.66,-5.72E-02,-1.72E-01
84.694,-5.67E-02,-1.71E-01
84.727,-5.62E-02,-1.71E-01
84.76,-5.59E-02,-1.71E-01
84.794,-5.54E-02,-1.70E-01
84.827,-5.52E-02,-1.70E-01
84.861,-5.47E-02,-1.70E-01
84.894,-5.45E-02,-1.69E-01
84.927,-5.37E-02,-1.69E-01
84.961,-5.34E-02,-1.69E-01
84.994,-5.28E-02,-1.68E-01
85.027,-5.25E-02,-1.68E-01
85.061,-5.19E-02,-1.68E-01
85.094,-5.11E-02,-1.67E-01
85.127,-5.08E-02,-1.67E-01
85.161,-5.02E-02,-1.67E-01
85.194,-4.99E-02,-1.66E-01
85.227,-4.92E-02,-1.66E-01
85.261,-4.85E-02,-1.65E-01
85.294,-4.82E-02,-1.65E-01
85.328,-4.74E-02,-1.64E-01
85.361,-4.67E-02,-1.64E-01
85.394,-4.64E-02,-1.64E-01
85.428,-4.59E-02,-1.63E-01
85.461,-4.56E-02,-1.63E-01
85.494,-4.49E-02,-1.63E-01
85.528,-4.46E-02,-1.62E-01
85.561,-4.40E-02,-1.62E-01
85.594,-4.37E-02,-1.62E-01
85.628,-4.31E-02,-1.61E-01
85.661,-4.28E-02,-1.61E-01
85.694,-4.22E-02,-1.61E-01
85.728,-4.20E-02,-1.61E-01
85.761,-4.18E-02,-1.60E-01
85.795,-4.13E-02,-1.60E-01
85.828,-4.10E-02,-1.60E-01
85.861,-4.08E-02,-1.60E-01
85.895,-4.03E-02,-1.60E-01
85.928,-4.01E-02,-1.59E-01
85.961,-3.96E-02,-1.59E-01
85.995,-3.93E-02,-1.59E-01
86.028,-3.90E-02,-1.59E-01
86.061,-3.84E-02,-1.58E-01
86.095,-3.80E-02,-1.58E-01
86.128,-3.73E-02,-1.58E-01
86.161,-3.69E-02,-1.58E-01
86.195,-3.66E-02,-1.57E-01
86.228,-3.59E-02,-1.57E-01
86.262,-3.55E-02,-1.57E-01
86.295,-3.51E-02,-1.57E-01
86.328,-3.47E-02,-1.57E-01
86.362,-3.41E-02,-1.57E-01
86.395,-3.38E-02,-1.56E-01
86.428,-3.35E-02,-1.56E-01
86.462,-3.32E-02,-1.56E-01
86.495,-3.29E-02,-1.56E-01
86.528,-3.24E-02,-1.56E-01
86.562,-3.21E-02,-1.56E-01
86.595,-3.19E-02,-1.56E-01
86.628,-3.18E-02,-1.56E-01
86.662,-3.15E-02,-1.56E-01
86.695,-3.14E-02,-1.56E-01
86.729,-3.10E-02,-1.55E-01
86.762,-3.09E-02,-1.55E-01
86.795,-3.08E-02,-1.55E-01
86.829,-3.06E-02,-1.55E-01
86.862,-3.03E-02,-1.55E-01
86.895,-3.01E-02,-1.55E-01
86.929,-2.99E-02,-1.54E-01
86.962,-2.97E-02,-1.54E-01
86.995,-2.92E-02,-1.54E-01
87.029,-2.90E-02,-1.54E-01
87.062,-2.87E-02,-1.54E-01
87.095,-2.84E-02,-1.54E-01
87.129,-2.79E-02,-1.53E-01
87.162,-2.77E-02,-1.53E-01
87.196,-2.74E-02,-1.53E-01
87.229,-2.71E-02,-1.53E-01
87.262,-2.69E-02,-1.53E-01
87.296,-2.68E-02,-1.53E-01
87.329,-2.65E-02,-1.53E-01
87.362,-2.63E-02,-1.53E-01
87.396,-2.63E-02,-1.53E-01
87.429,-2.62E-02,-1.53E-01
87.462,-2.62E-02,-1.53E-01
87.496,-2.60E-02,-1.53E-01
87.529,-2.59E-02,-1.53E-01
87.562,-2.59E-02,-1.53E-01
87.596,-2.59E-02,-1.53E-01
87.629,-2.58E-02,-1.53E-01
87.663,-2.58E-02,-1.53E-01
87.696,-2.58E-02,-1.53E-01
87.729,-2.58E-02,-1.53E-01
87.763,-2.58E-02,-1.53E-01
87.796,-2.58E-02,-1.53E-01
87.829,-2.57E-02,-1.53E-01
87.863,-2.57E-02,-1.53E-01
87.896,-2.56E-02,-1.53E-01
87.929,-2.56E-02,-1.53E-01
87.963,-2.54E-02,-1.53E-01
87.996,-2.53E-02,-1.53E-01
88.029,-2.52E-02,-1.53E-01
88.063,-2.51E-02,-1.53E-01
88.096,-2.51E-02,-1.53E-01
88.13,-2.51E-02,-1.53E-01
88.163,-2.51E-02,-1.53E-01
88.196,-2.51E-02,-1.53E-01
88.23,-2.52E-02,-1.53E-01
88.263,-2.52E-02,-1.53E-01
88.296,-2.52E-02,-1.53E-01
88.33,-2.53E-02,-1.53E-01
88.363,-2.54E-02,-1.53E-01
88.396,-2.55E-02,-1.53E-01
88.43,-2.56E-02,-1.53E-01
88.463,-2.57E-02,-1.53E-01
88.496,-2.59E-02,-1.53E-01
88.53,-2.60E-02,-1.53E-01
88.563,-2.61E-02,-1.53E-01
88.597,-2.62E-02,-1.53E-01
88.63,-2.65E-02,-1.54E-01
88.663,-2.66E-02,-1.54E-01
88.697,-2.67E-02,-1.54E-01
88.73,-2.67E-02,-1.54E-01
88.763,-2.68E-02,-1.54E-01
88.797,-2.67E-02,-1.54E-01
88.83,-2.67E-02,-1.54E-01
88.863,-2.67E-02,-1.54E-01
88.897,-2.67E-02,-1.54E-01
88.93,-2.67E-02,-1.54E-01
88.963,-2.67E-02,-1.54E-01
88.997,-2.68E-02,-1.54E-01
89.03,-2.68E-02,-1.54E-01
89.064,-2.68E-02,-1.54E-01
89.097,-2.71E-02,-1.54E-01
89.13,-2.73E-02,-1.54E-01
89.164,-2.73E-02,-1.54E-01
89.197,-2.74E-02,-1.54E-01
89.23,-2.76E-02,-1.55E-01
89.264,-2.79E-02,-1.55E-01
89.297,-2.84E-02,-1.55E-01
89.33,-2.86E-02,-1.55E-01
89.364,-2.88E-02,-1.55E-01
89.397,-2.92E-02,-1.55E-01
89.43,-2.95E-02,-1.55E-01
89.464,-3.02E-02,-1.56E-01
89.497,-3.05E-02,-1.56E-01
89.531,-3.08E-02,-1.56E-01
89.564,-3.11E-02,-1.56E-01
89.597,-3.16E-02,-1.56E-01
89.631,-3.19E-02,-1.56E-01
89.664,-3.22E-02,-1.56E-01
89.697,-3.25E-02,-1.56E-01
89.731,-3.27E-02,-1.57E-01
89.764,-3.30E-02,-1.57E-01
89.797,-3.34E-02,-1.57E-01
89.831,-3.36E-02,-1.57E-01
89.864,-3.38E-02,-1.57E-01
89.897,-3.41E-02,-1.57E-01
89.931,-3.45E-02,-1.57E-01
89.964,-3.48E-02,-1.58E-01
89.998,-3.50E-02,-1.58E-01
90.031,-3.52E-02,-1.58E-01
90.064,-3.57E-02,-1.58E-01
90.098,-3.60E-02,-1.58E-01
90.131,-3.63E-02,-1.59E-01
90.164,-3.69E-02,-1.59E-01
90.198,-3.72E-02,-1.59E-01
90.231,-3.78E-02,-1.59E-01
90.264,-3.82E-02,-1.60E-01
90.298,-3.86E-02,-1.60E-01
90.331,-3.91E-02,-1.60E-01
90.364,-3.95E-02,-1.60E-01
90.398,-4.02E-02,-1.61E-01
90.431,-4.06E-02,-1.61E-01
90.465,-4.12E-02,-1.61E-01
90.498,-4.15E-02,-1.62E-01
90.531,-4.21E-02,-1.62E-01
90.565,-4.24E-02,-1.62E-01
90.598,-4.28E-02,-1.62E-01
90.631,-4.34E-02,-1.63E-01
90.665,-4.37E-02,-1.63E-01
90.698,-4.42E-02,-1.63E-01
90.731,-4.45E-02,-1.63E-01
90.765,-4.49E-02,-1.63E-01
90.798,-4.54E-02,-1.64E-01
90.831,-4.57E-02,-1.64E-01
90.865,-4.60E-02,-1.64E-01
90.898,-4.66E-02,-1.64E-01
90.932,-4.70E-02,-1.65E-01
90.965,-4.74E-02,-1.65E-01
90.998,-4.79E-02,-1.65E-01
91.032,-4.85E-02,-1.65E-01
91.065,-4.89E-02,-1.66E-01
91.098,-4.96E-02,-1.66E-01
91.132,-5.01E-02,-1.66E-01
91.165,-5.06E-02,-1.67E-01
91.198,-5.10E-02,-1.67E-01
91.232,-5.16E-02,-1.68E-01
91.265,-5.22E-02,-1.68E-01
91.298,-5.28E-02,-1.69E-01
91.332,-5.34E-02,-1.69E-01
91.365,-5.38E-02,-1.70E-01
91.399,-5.43E-02,-1.70E-01
91.432,-5.48E-02,-1.71E-01
91.465,-5.53E-02,-1.71E-01
91.499,-5.56E-02,-1.72E-01
91.532,-5.61E-02,-1.72E-01
91.565,-5.66E-02,-1.73E-01
91.599,-5.71E-02,-1.73E-01
91.632,-5.74E-02,-1.73E-01
91.665,-5.79E-02,-1.74E-01
91.699,-5.84E-02,-1.74E-01
91.732,-5.87E-02,-1.75E-01
91.765,-5.92E-02,-1.75E-01
91.799,-5.97E-02,-1.76E-01
91.832,-6.01E-02,-1.76E-01
91.866,-6.05E-02,-1.76E-01
91.899,-6.10E-02,-1.77E-01
91.932,-6.16E-02,-1.77E-01
91.966,-6.19E-02,-1.78E-01
91.999,-6.24E-02,-1.78E-01
92.032,-6.29E-02,-1.79E-01
92.066,-6.35E-02,-1.79E-01
92.099,-6.41E-02,-1.80E-01
92.132,-6.47E-02,-1.81E-01
92.166,-6.53E-02,-1.81E-01
92.199,-6.59E-02,-1.82E-01
92.232,-6.65E-02,-1.83E-01
92.266,-6.71E-02,-1.83E-01
92.299,-6.76E-02,-1.84E-01
92.333,-6.81E-02,-1.84E-01
92.366,-6.86E-02,-1.85E-01
92.399,-6.91E-02,-1.86E-01
92.433,-6.95E-02,-1.86E-01
92.466,-7.01E-02,-1.87E-01
92.499,-7.05E-02,-1.88E-01
92.533,-7.09E-02,-1.88E-01
92.566,-7.13E-02,-1.89E-01
92.599,-7.17E-02,-1.89E-01
92.633,-7.21E-02,-1.90E-01
92.666,-7.25E-02,-1.91E-01
92.699,-7.28E-02,-1.91E-01
92.733,-7.32E-02,-1.92E-01
92.766,-7.35E-02,-1.93E-01
92.8,-7.39E-02,-1.93E-01
92.833,-7.42E-02,-1.94E-01
92.866,-7.45E-02,-1.95E-01
92.9,-7.48E-02,-1.95E-01
92.933,-7.52E-02,-1.96E-01
92.966,-7.56E-02,-1.97E-01
93,-7.60E-02,-1.97E-01
93.033,-7.64E-02,-1.98E-01
93.066,-7.68E-02,-1.99E-01
93.1,-7.72E-02,-1.99E-01
93.133,-7.77E-02,-2.00E-01
93.166,-7.81E-02,-2.01E-01
93.2,-7.85E-02,-2.02E-01
93.233,-7.91E-02,-2.03E-01
93.267,-7.95E-02,-2.03E-01
93.3,-7.98E-02,-2.04E-01
93.333,-8.02E-02,-2.05E-01
93.367,-8.06E-02,-2.05E-01
93.4,-8.09E-02,-2.06E-01
93.433,-8.13E-02,-2.07E-01
93.467,-8.16E-02,-2.07E-01
93.5,-8.19E-02,-2.08E-01
93.533,-8.22E-02,-2.09E-01
93.567,-8.25E-02,-2.09E-01
93.6,-8.28E-02,-2.10E-01
93.633,-8.31E-02,-2.10E-01
93.667,-8.33E-02,-2.11E-01
93.7,-8.35E-02,-2.12E-01
93.734,-8.38E-02,-2.12E-01
93.767,-8.40E-02,-2.13E-01
93.8,-8.43E-02,-2.14E-01
93.834,-8.46E-02,-2.14E-01
93.867,-8.49E-02,-2.15E-01
93.9,-8.51E-02,-2.16E-01
93.934,-8.54E-02,-2.17E-01
93.967,-8.56E-02,-2.17E-01
94,-8.57E-02,-2.18E-01
94.034,-8.60E-02,-2.19E-01
94.067,-8.62E-02,-2.20E-01
94.1,-8.63E-02,-2.20E-01
94.134,-8.65E-02,-2.21E-01
94.167,-8.67E-02,-2.22E-01
94.201,-8.69E-02,-2.23E-01
94.234,-8.70E-02,-2.24E-01
94.267,-8.70E-02,-2.24E-01
94.301,-8.72E-02,-2.25E-01
94.334,-8.74E-02,-2.26E-01
94.367,-8.75E-02,-2.26E-01
94.401,-8.76E-02,-2.27E-01
94.434,-8.77E-02,-2.28E-01
94.467,-8.78E-02,-2.29E-01
94.501,-8.80E-02,-2.29E-01
94.534,-8.82E-02,-2.30E-01
94.567,-8.83E-02,-2.30E-01
94.601,-8.84E-02,-2.31E-01
94.634,-8.86E-02,-2.32E-01
94.668,-8.88E-02,-2.32E-01
94.701,-8.89E-02,-2.33E-01
94.734,-8.90E-02,-2.34E-01
94.768,-8.92E-02,-2.34E-01
94.801,-8.94E-02,-2.35E-01
94.834,-8.95E-02,-2.36E-01
94.868,-8.95E-02,-2.36E-01
94.901,-8.96E-02,-2.37E-01
94.934,-8.97E-02,-2.38E-01
94.968,-8.98E-02,-2.39E-01
95.001,-8.99E-02,-2.39E-01
95.034,-8.99E-02,-2.40E-01
95.068,-9.00E-02,-2.41E-01
95.101,-9.00E-02,-2.42E-01
95.135,-9.00E-02,-2.42E-01
95.168,-9.00E-02,-2.43E-01
95.201,-9.00E-02,-2.44E-01
95.235,-8.99E-02,-2.44E-01
95.268,-8.99E-02,-2.45E-01
95.301,-8.99E-02,-2.45E-01
95.335,-8.99E-02,-2.46E-01
95.368,-8.98E-02,-2.47E-01
95.401,-8.99E-02,-2.47E-01
95.435,-8.99E-02,-2.48E-01
95.468,-8.99E-02,-2.48E-01
95.501,-8.98E-02,-2.49E-01
95.535,-8.99E-02,-2.50E-01
95.568,-8.98E-02,-2.50E-01
95.602,-8.98E-02,-2.51E-01
95.635,-8.98E-02,-2.51E-01
95.668,-8.98E-02,-2.52E-01
95.702,-8.98E-02,-2.52E-01
95.735,-8.98E-02,-2.53E-01
95.768,-8.98E-02,-2.53E-01
95.802,-8.98E-02,-2.54E-01
95.835,-8.98E-02,-2.55E-01
95.868,-8.98E-02,-2.55E-01
95.902,-8.98E-02,-2.56E-01
95.935,-8.98E-02,-2.57E-01
95.968,-8.98E-02,-2.57E-01
96.002,-8.98E-02,-2.58E-01
96.035,-8.98E-02,-2.58E-01
96.069,-8.98E-02,-2.59E-01
96.102,-8.97E-02,-2.60E-01
96.135,-8.98E-02,-2.60E-01
96.169,-8.98E-02,-2.61E-01
96.202,-8.97E-02,-2.61E-01
96.235,-8.98E-02,-2.61E-01
96.269,-8.97E-02,-2.62E-01
96.302,-8.98E-02,-2.62E-01
96.335,-8.95E-02,-2.63E-01
96.369,-8.93E-02,-2.63E-01
96.402,-8.92E-02,-2.63E-01
96.435,-8.92E-02,-2.64E-01
96.469,-8.92E-02,-2.64E-01
96.502,-8.88E-02,-2.65E-01
96.536,-8.88E-02,-2.65E-01
96.569,-8.86E-02,-2.65E-01
96.602,-8.85E-02,-2.66E-01
96.636,-8.86E-02,-2.66E-01
96.669,-8.82E-02,-2.67E-01
96.702,-8.80E-02,-2.67E-01
96.736,-8.80E-02,-2.67E-01
96.769,-8.79E-02,-2.68E-01
96.802,-8.79E-02,-2.68E-01
96.836,-8.75E-02,-2.69E-01
96.869,-8.75E-02,-2.69E-01
96.902,-8.73E-02,-2.70E-01
96.936,-8.74E-02,-2.70E-01
96.969,-8.72E-02,-2.70E-01
97.003,-8.73E-02,-2.71E-01
97.036,-8.69E-02,-2.72E-01
97.069,-8.69E-02,-2.72E-01
97.103,-8.68E-02,-2.72E-01
97.136,-8.68E-02,-2.73E-01
97.169,-8.68E-02,-2.73E-01
97.203,-8.67E-02,-2.73E-01
97.236,-8.67E-02,-2.73E-01
97.269,-8.68E-02,-2.73E-01
97.303,-8.67E-02,-2.73E-01
97.336,-8.68E-02,-2.74E-01
97.369,-8.68E-02,-2.74E-01
97.403,-8.67E-02,-2.74E-01
97.436,-8.67E-02,-2.74E-01
97.47,-8.68E-02,-2.75E-01
97.503,-8.68E-02,-2.75E-01
97.536,-8.66E-02,-2.75E-01
97.57,-8.67E-02,-2.75E-01
97.603,-8.67E-02,-2.75E-01
97.636,-8.67E-02,-2.75E-01
97.67,-8.66E-02,-2.75E-01
97.703,-8.63E-02,-2.76E-01
97.736,-8.62E-02,-2.76E-01
97.77,-8.62E-02,-2.76E-01
97.803,-8.62E-02,-2.76E-01
97.836,-8.61E-02,-2.76E-01
97.87,-8.57E-02,-2.77E-01
97.903,-8.55E-02,-2.77E-01
97.937,-8.55E-02,-2.77E-01
97.97,-8.55E-02,-2.78E-01
98.003,-8.55E-02,-2.78E-01
98.037,-8.55E-02,-2.78E-01
98.07,-8.55E-02,-2.78E-01
98.103,-8.55E-02,-2.78E-01
98.137,-8.55E-02,-2.78E-01
98.17,-8.55E-02,-2.78E-01
98.203,-8.55E-02,-2.78E-01
98.237,-8.56E-02,-2.78E-01
98.27,-8.55E-02,-2.78E-01
98.303,-8.56E-02,-2.78E-01
98.337,-8.56E-02,-2.78E-01
98.37,-8.56E-02,-2.78E-01
98.404,-8.56E-02,-2.78E-01
98.437,-8.56E-02,-2.78E-01
98.47,-8.56E-02,-2.78E-01
98.504,-8.56E-02,-2.78E-01
98.537,-8.56E-02,-2.78E-01
98.57,-8.56E-02,-2.78E-01
98.604,-8.56E-02,-2.78E-01
98.637,-8.55E-02,-2.78E-01
98.67,-8.55E-02,-2.78E-01
98.704,-8.55E-02,-2.78E-01
98.737,-8.56E-02,-2.78E-01
98.77,-8.56E-02,-2.78E-01
98.804,-8.56E-02,-2.78E-01
98.837,-8.56E-02,-2.78E-01
98.871,-8.55E-02,-2.78E-01
98.904,-8.55E-02,-2.78E-01
98.937,-8.55E-02,-2.78E-01
98.971,-8.55E-02,-2.78E-01
99.004,-8.55E-02,-2.78E-01
99.037,-8.55E-02,-2.78E-01
99.071,-8.55E-02,-2.78E-01
99.104,-8.55E-02,-2.78E-01
99.137,-8.56E-02,-2.78E-01
99.171,-8.56E-02,-2.78E-01
99.204,-8.56E-02,-2.77E-01
99.237,-8.55E-02,-2.77E-01
99.271,-8.57E-02,-2.77E-01
99.304,-8.56E-02,-2.77E-01
99.338,-8.55E-02,-2.77E-01
99.371,-8.55E-02,-2.77E-01
99.404,-8.56E-02,-2.76E-01
99.438,-8.57E-02,-2.76E-01
99.471,-8.57E-02,-2.76E-01
99.504,-8.56E-02,-2.76E-01
99.538,-8.56E-02,-2.76E-01
99.571,-8.56E-02,-2.76E-01
99.604,-8.56E-02,-2.76E-01
99.638,-8.56E-02,-2.76E-01
99.671,-8.56E-02,-2.76E-01
99.704,-8.57E-02,-2.76E-01
99.738,-8.57E-02,-2.76E-01
99.771,-8.57E-02,-2.76E-01
99.805,-8.57E-02,-2.76E-01
99.838,-8.59E-02,-2.75E-01
99.871,-8.60E-02,-2.75E-01
99.905,-8.61E-02,-2.75E-01
99.938,-8.63E-02,-2.75E-01
99.971,-8.63E-02,-2.75E-01
100.005,-8.62E-02,-2.75E-01
100.038,-8.66E-02,-2.74E-01
100.071,-8.67E-02,-2.74E-01
100.105,-8.69E-02,-2.73E-01
100.138,-8.68E-02,-2.73E-01
100.171,-8.68E-02,-2.73E-01
100.205,-8.69E-02,-2.73E-01
100.238,-8.71E-02,-2.72E-01
100.272,-8.73E-02,-2.71E-01
100.305,-8.73E-02,-2.71E-01
100.338,-8.74E-02,-2.71E-01
100.372,-8.75E-02,-2.70E-01
100.405,-8.75E-02,-2.70E-01
100.438,-8.75E-02,-2.70E-01
100.472,-8.75E-02,-2.69E-01
100.505,-8.75E-02,-2.69E-01
100.538,-8.76E-02,-2.69E-01
100.572,-8.75E-02,-2.69E-01
100.605,-8.76E-02,-2.68E-01
100.638,-8.75E-02,-2.68E-01
100.672,-8.76E-02,-2.68E-01
100.705,-8.75E-02,-2.67E-01
100.739,-8.76E-02,-2.67E-01
100.772,-8.76E-02,-2.67E-01
100.805,-8.77E-02,-2.66E-01
100.839,-8.78E-02,-2.65E-01
100.872,-8.80E-02,-2.65E-01
100.905,-8.80E-02,-2.65E-01
100.939,-8.82E-02,-2.64E-01
100.972,-8.83E-02,-2.64E-01
101.005,-8.84E-02,-2.63E-01
101.039,-8.86E-02,-2.63E-01
101.072,-8.88E-02,-2.62E-01
101.105,-8.88E-02,-2.62E-01
101.139,-8.91E-02,-2.61E-01
101.172,-8.93E-02,-2.60E-01
101.206,-8.93E-02,-2.60E-01
101.239,-8.94E-02,-2.59E-01
101.272,-8.95E-02,-2.59E-01
101.306,-8.95E-02,-2.58E-01
101.339,-8.95E-02,-2.58E-01
101.372,-8.95E-02,-2.57E-01
101.406,-8.95E-02,-2.56E-01
101.439,-8.96E-02,-2.56E-01
101.472,-8.95E-02,-2.56E-01
101.506,-8.95E-02,-2.55E-01
