,,,
,t,x,y
,7.44E+00,8.73E-02,-0.303
,7.47E+00,8.77E-02,-0.302
,7.51E+00,8.78E-02,-0.302
,7.54E+00,8.86E-02,-0.301
,7.57E+00,8.89E-02,-0.3
,7.61E+00,8.98E-02,-0.3
,7.64E+00,8.97E-02,-0.299
,7.67E+00,9.05E-02,-0.298
,7.71E+00,9.09E-02,-0.297
,7.74E+00,9.17E-02,-0.296
,7.77E+00,9.21E-02,-0.295
,7.81E+00,9.28E-02,-0.295
,7.84E+00,9.34E-02,-0.294
,7.87E+00,9.42E-02,-0.293
,7.91E+00,9.48E-02,-0.292
,7.94E+00,9.58E-02,-0.291
,7.97E+00,9.67E-02,-0.29
,8.01E+00,9.74E-02,-0.289
,8.04E+00,9.83E-02,-0.288
,8.07E+00,9.91E-02,-0.287
,8.11E+00,9.98E-02,-0.286
,8.14E+00,1.00E-01,-0.285
,8.17E+00,1.01E-01,-0.284
,8.21E+00,1.02E-01,-0.283
,8.24E+00,1.02E-01,-0.282
,8.27E+00,1.03E-01,-0.281
,8.31E+00,1.03E-01,-0.28
,8.34E+00,1.03E-01,-0.279
,8.37E+00,1.04E-01,-0.278
,8.41E+00,1.04E-01,-0.277
,8.44E+00,1.04E-01,-0.276
,8.47E+00,1.05E-01,-0.276
,8.51E+00,1.05E-01,-0.275
,8.54E+00,1.05E-01,-0.274
,8.57E+00,1.06E-01,-0.273
,8.61E+00,1.06E-01,-0.272
,8.64E+00,1.06E-01,-0.271
,8.67E+00,1.07E-01,-0.27
,8.71E+00,1.07E-01,-0.269
,8.74E+00,1.07E-01,-0.268
,8.77E+00,1.08E-01,-0.267
,8.81E+00,1.08E-01,-0.266
,8.84E+00,1.09E-01,-0.264
,8.87E+00,1.09E-01,-0.264
,8.91E+00,1.09E-01,-0.262
,8.94E+00,1.09E-01,-0.261
,8.97E+00,1.09E-01,-0.26
,9.01E+00,1.10E-01,-0.258
,9.04E+00,1.10E-01,-0.257
,9.07E+00,1.10E-01,-0.256
,9.11E+00,1.10E-01,-0.255
,9.14E+00,1.10E-01,-0.254
,9.17E+00,1.10E-01,-0.253
,9.21E+00,1.11E-01,-0.252
,9.24E+00,1.11E-01,-0.251
,9.27E+00,1.11E-01,-0.25
,9.31E+00,1.11E-01,-0.25
,9.34E+00,1.12E-01,-0.249
,9.37E+00,1.12E-01,-0.248
,9.41E+00,1.12E-01,-0.247
,9.44E+00,1.12E-01,-0.246
,9.47E+00,1.12E-01,-0.245
,9.51E+00,1.13E-01,-0.244
,9.54E+00,1.13E-01,-0.243
,9.57E+00,1.13E-01,-0.243
,9.61E+00,1.13E-01,-0.242
,9.64E+00,1.13E-01,-0.241
,9.67E+00,1.13E-01,-0.24
,9.71E+00,1.13E-01,-0.238
,9.74E+00,1.13E-01,-0.237
,9.77E+00,1.13E-01,-0.236
,9.81E+00,1.13E-01,-0.235
,9.84E+00,1.13E-01,-0.234
,9.87E+00,1.13E-01,-0.233
,9.91E+00,1.12E-01,-0.232
,9.94E+00,1.12E-01,-0.231
,9.97E+00,1.12E-01,-0.229
,1.00E+01,1.12E-01,-0.229
,1.00E+01,1.12E-01,-0.228
,1.01E+01,1.12E-01,-0.226
,1.01E+01,1.12E-01,-0.225
,1.01E+01,1.12E-01,-0.224
,1.02E+01,1.12E-01,-0.224
,1.02E+01,1.12E-01,-0.223
,1.02E+01,1.12E-01,-0.222
,1.03E+01,1.12E-01,-0.222
,1.03E+01,1.12E-01,-0.221
,1.03E+01,1.12E-01,-0.22
,1.04E+01,1.11E-01,-0.219
,1.04E+01,1.11E-01,-0.218
,1.04E+01,1.11E-01,-0.218
,1.05E+01,1.11E-01,-0.217
,1.05E+01,1.11E-01,-0.217
,1.05E+01,1.11E-01,-0.217
,1.06E+01,1.11E-01,-0.215
,1.06E+01,1.10E-01,-0.214
,1.06E+01,1.10E-01,-0.214
,1.07E+01,1.10E-01,-0.213
,1.07E+01,1.10E-01,-0.212
,1.07E+01,1.10E-01,-0.21
,1.08E+01,1.10E-01,-0.209
,1.08E+01,1.10E-01,-0.209
,1.08E+01,1.10E-01,-0.208
,1.09E+01,1.09E-01,-0.207
,1.09E+01,1.09E-01,-0.206
,1.09E+01,1.09E-01,-0.205
,1.10E+01,1.09E-01,-0.204
,1.10E+01,1.09E-01,-0.204
,1.10E+01,1.08E-01,-0.203
,1.11E+01,1.08E-01,-0.203
,1.11E+01,1.07E-01,-0.202
,1.11E+01,1.07E-01,-0.202
,1.12E+01,1.07E-01,-0.201
,1.12E+01,1.07E-01,-0.201
,1.12E+01,1.06E-01,-0.2
,1.13E+01,1.06E-01,-0.2
,1.13E+01,1.05E-01,-0.199
,1.13E+01,1.05E-01,-0.199
,1.14E+01,1.05E-01,-0.199
,1.14E+01,1.05E-01,-0.198
,1.14E+01,1.05E-01,-0.198
,1.15E+01,1.05E-01,-0.197
,1.15E+01,1.04E-01,-0.196
,1.15E+01,1.04E-01,-0.196
,1.16E+01,1.04E-01,-0.195
,1.16E+01,1.04E-01,-0.194
,1.16E+01,1.04E-01,-0.194
,1.17E+01,1.03E-01,-0.193
,1.17E+01,1.03E-01,-0.192
,1.17E+01,1.03E-01,-0.192
,1.18E+01,1.02E-01,-0.191
,1.18E+01,1.02E-01,-0.191
,1.18E+01,1.02E-01,-0.19
,1.19E+01,1.01E-01,-0.19
,1.19E+01,1.01E-01,-0.189
,1.19E+01,1.01E-01,-0.189
,1.20E+01,1.01E-01,-0.188
,1.20E+01,1.00E-01,-0.188
,1.20E+01,1.00E-01,-0.188
,1.21E+01,1.00E-01,-0.187
,1.21E+01,1.00E-01,-0.187
,1.21E+01,9.98E-02,-0.187
,1.22E+01,9.98E-02,-0.186
,1.22E+01,9.98E-02,-0.186
,1.22E+01,9.96E-02,-0.186
,1.23E+01,9.97E-02,-0.186
,1.23E+01,9.97E-02,-0.186
,1.23E+01,9.97E-02,-0.186
,1.24E+01,9.94E-02,-0.185
,1.24E+01,9.92E-02,-0.185
,1.24E+01,9.91E-02,-0.185
,1.25E+01,9.86E-02,-0.184
,1.25E+01,9.84E-02,-0.184
,1.25E+01,9.79E-02,-0.184
,1.26E+01,9.77E-02,-0.184
,1.26E+01,9.73E-02,-0.183
,1.26E+01,9.71E-02,-0.183
,1.27E+01,9.67E-02,-0.183
,1.27E+01,9.65E-02,-0.183
,1.27E+01,9.61E-02,-0.182
,1.28E+01,9.60E-02,-0.182
,1.28E+01,9.56E-02,-0.181
,1.28E+01,9.55E-02,-0.181
,1.29E+01,9.52E-02,-0.181
,1.29E+01,9.53E-02,-0.181
,1.29E+01,9.54E-02,-0.181
,1.30E+01,9.55E-02,-0.18
,1.30E+01,9.53E-02,-0.18
,1.30E+01,9.54E-02,-0.18
,1.31E+01,9.54E-02,-0.18
,1.31E+01,9.55E-02,-0.18
,1.31E+01,9.55E-02,-0.18
,1.32E+01,9.55E-02,-0.18
,1.32E+01,9.55E-02,-0.18
,1.32E+01,9.55E-02,-0.18
,1.33E+01,9.55E-02,-0.18
,1.33E+01,9.54E-02,-0.18
,1.33E+01,9.54E-02,-0.18
,1.34E+01,9.54E-02,-0.18
,1.34E+01,9.53E-02,-0.18
,1.34E+01,9.53E-02,-0.18
,1.35E+01,9.53E-02,-0.18
,1.35E+01,9.53E-02,-0.18
,1.35E+01,9.53E-02,-0.18
,1.36E+01,9.53E-02,-0.18
,1.36E+01,9.50E-02,-0.179
,1.36E+01,9.49E-02,-0.179
,1.37E+01,9.48E-02,-0.179
,1.37E+01,9.48E-02,-0.179
,1.37E+01,9.48E-02,-0.179
,1.38E+01,9.47E-02,-0.179
,1.38E+01,9.47E-02,-0.179
,1.38E+01,9.47E-02,-0.18
,1.39E+01,9.46E-02,-0.18
,1.39E+01,9.46E-02,-0.18
,1.39E+01,9.48E-02,-0.18
,1.40E+01,9.46E-02,-0.18
,1.40E+01,9.46E-02,-0.18
,1.40E+01,9.48E-02,-0.181
,1.41E+01,9.48E-02,-0.181
,1.41E+01,9.51E-02,-0.182
,1.41E+01,9.54E-02,-0.182
,1.42E+01,9.55E-02,-0.182
