,,
t,x,y
1.001,8.14E-02,-0.128
1.034,8.15E-02,-0.128
1.067,8.14E-02,-0.128
1.101,8.14E-02,-0.128
1.134,8.14E-02,-0.128
1.168,8.13E-02,-0.128
1.201,8.13E-02,-0.128
1.234,8.12E-02,-0.128
1.268,8.12E-02,-0.128
1.301,8.12E-02,-0.128
1.334,8.12E-02,-0.128
1.368,8.08E-02,-0.128
1.401,8.08E-02,-0.127
1.434,8.03E-02,-0.127
1.468,8.02E-02,-0.127
1.501,7.97E-02,-0.126
1.534,7.96E-02,-0.126
1.568,7.91E-02,-0.126
1.601,7.90E-02,-0.126
1.635,7.84E-02,-0.125
1.668,7.83E-02,-0.125
1.701,7.77E-02,-0.124
1.735,7.71E-02,-0.124
1.768,7.71E-02,-0.124
1.801,7.65E-02,-0.123
1.835,7.64E-02,-0.123
1.868,7.59E-02,-0.123
1.901,7.58E-02,-0.122
1.935,7.54E-02,-0.122
1.968,7.53E-02,-0.122
2.001,7.48E-02,-0.121
2.035,7.43E-02,-0.121
2.068,7.44E-02,-0.121
2.102,7.40E-02,-0.12
2.135,7.35E-02,-0.119
2.168,7.35E-02,-0.119
2.202,7.31E-02,-0.119
2.235,7.26E-02,-0.118
2.268,7.20E-02,-0.118
2.302,7.14E-02,-0.117
2.335,7.08E-02,-0.116
2.368,7.01E-02,-0.116
2.402,6.94E-02,-0.115
2.435,6.86E-02,-0.115
2.468,6.79E-02,-0.114
2.502,6.71E-02,-0.113
2.535,6.63E-02,-0.113
2.569,6.60E-02,-0.112
2.602,6.51E-02,-0.112
2.635,6.43E-02,-0.111
2.669,6.35E-02,-0.111
2.702,6.27E-02,-0.11
2.735,6.19E-02,-0.11
2.769,6.12E-02,-0.109
2.802,6.09E-02,-0.109
2.835,6.02E-02,-0.108
2.869,5.94E-02,-0.108
2.902,5.86E-02,-0.107
2.935,5.78E-02,-0.106
2.969,5.70E-02,-0.106
3.002,5.66E-02,-0.105
3.036,5.57E-02,-0.105
3.069,5.49E-02,-0.105
3.102,5.42E-02,-0.104
3.136,5.32E-02,-0.104
3.169,5.23E-02,-0.103
3.202,5.12E-02,-0.102
3.236,5.02E-02,-0.102
3.269,4.92E-02,-0.101
3.302,4.80E-02,-0.1
3.336,4.69E-02,-9.97E-02
3.369,4.58E-02,-9.91E-02
3.402,4.47E-02,-9.84E-02
3.436,4.34E-02,-9.78E-02
3.469,4.22E-02,-9.71E-02
3.503,4.09E-02,-9.65E-02
3.536,3.96E-02,-9.59E-02
3.569,3.84E-02,-9.52E-02
3.603,3.72E-02,-9.47E-02
3.636,3.60E-02,-9.43E-02
3.669,3.48E-02,-9.39E-02
3.703,3.35E-02,-9.35E-02
3.736,3.23E-02,-9.31E-02
3.769,3.09E-02,-9.29E-02
3.803,2.97E-02,-9.26E-02
3.836,2.84E-02,-9.24E-02
3.869,2.71E-02,-9.21E-02
3.903,2.59E-02,-9.19E-02
3.936,2.48E-02,-9.18E-02
3.97,2.35E-02,-9.17E-02
4.003,2.22E-02,-9.14E-02
4.036,2.09E-02,-9.12E-02
4.07,1.95E-02,-9.10E-02
4.103,1.80E-02,-9.07E-02
4.136,1.66E-02,-9.05E-02
4.17,1.51E-02,-9.03E-02
4.203,1.36E-02,-9.01E-02
4.236,1.22E-02,-8.98E-02
4.27,1.07E-02,-8.95E-02
4.303,9.12E-03,-8.92E-02
4.337,7.46E-03,-8.90E-02
4.37,5.59E-03,-8.89E-02
4.403,3.78E-03,-8.89E-02
4.437,2.01E-03,-8.88E-02
4.47,3.55E-04,-8.88E-02
4.503,-1.20E-03,-8.89E-02
4.537,-2.79E-03,-8.89E-02
4.57,-4.25E-03,-8.90E-02
4.603,-5.66E-03,-8.91E-02
4.637,-7.18E-03,-8.91E-02
4.67,-9.07E-03,-8.93E-02
4.703,-1.04E-02,-8.96E-02
4.737,-1.18E-02,-8.99E-02
4.77,-1.37E-02,-9.01E-02
4.804,-1.51E-02,-9.03E-02
4.837,-1.65E-02,-9.03E-02
4.87,-1.82E-02,-9.07E-02
4.904,-1.96E-02,-9.09E-02
4.937,-2.13E-02,-9.13E-02
4.97,-2.28E-02,-9.14E-02
5.004,-2.46E-02,-9.19E-02
5.037,-2.64E-02,-9.25E-02
5.07,-2.78E-02,-9.27E-02
5.104,-2.95E-02,-9.33E-02
5.137,-3.12E-02,-9.39E-02
5.17,-3.28E-02,-9.44E-02
5.204,-3.45E-02,-9.51E-02
5.237,-3.61E-02,-9.59E-02
5.271,-3.78E-02,-9.64E-02
5.304,-3.98E-02,-9.76E-02
5.337,-4.14E-02,-9.83E-02
5.371,-4.28E-02,-9.89E-02
5.404,-4.46E-02,-9.99E-02
5.437,-4.59E-02,-0.101
5.471,-4.76E-02,-0.102
5.504,-4.89E-02,-0.103
5.537,-5.06E-02,-0.104
5.571,-5.19E-02,-0.105
5.604,-5.37E-02,-0.106
5.637,-5.49E-02,-0.106
5.671,-5.66E-02,-0.108
5.704,-5.78E-02,-0.108
5.738,-5.95E-02,-0.109
5.771,-6.06E-02,-0.11
5.804,-6.21E-02,-0.111
5.838,-6.31E-02,-0.112
5.871,-6.45E-02,-0.113
5.904,-6.59E-02,-0.115
5.938,-6.73E-02,-0.116
5.971,-6.87E-02,-0.117
6.004,-7.00E-02,-0.118
6.038,-7.12E-02,-0.119
6.071,-7.24E-02,-0.121
6.104,-7.36E-02,-0.122
6.138,-7.50E-02,-0.124
6.171,-7.61E-02,-0.125
6.205,-7.75E-02,-0.127
6.238,-7.86E-02,-0.128
6.271,-8.37E-02,-0.136
6.305,-8.48E-02,-0.138
6.338,-8.55E-02,-0.139
6.371,-8.61E-02,-0.14
6.405,-8.67E-02,-0.141
6.438,-8.78E-02,-0.143
6.471,-8.88E-02,-0.145
6.505,-8.93E-02,-0.146
6.538,-9.02E-02,-0.148
6.571,-9.11E-02,-0.15
6.605,-9.16E-02,-0.151
