t,x,y
10.375,5.57E-03,0.103
10.408,5.55E-03,0.103
10.441,5.61E-03,0.103
10.475,5.65E-03,0.103
10.508,5.68E-03,0.103
10.541,5.76E-03,0.103
10.575,5.67E-03,0.103
10.608,5.62E-03,0.103
10.642,5.36E-03,0.103
10.675,5.40E-03,0.103
10.708,5.32E-03,0.103
10.742,5.25E-03,0.103
10.775,5.16E-03,0.103
10.808,5.09E-03,0.103
10.842,5.19E-03,0.103
10.875,5.20E-03,0.103
10.908,5.21E-03,0.103
10.942,5.13E-03,0.103
10.975,5.28E-03,0.103
11.008,5.38E-03,0.103
11.042,5.47E-03,0.103
11.075,5.64E-03,0.102
11.109,5.34E-03,0.102
11.142,5.42E-03,0.102
11.175,5.43E-03,0.102
11.209,5.44E-03,0.102
11.242,5.32E-03,0.102
11.275,5.33E-03,0.102
11.309,5.35E-03,0.102
11.342,5.54E-03,0.103
11.375,5.58E-03,0.103
11.409,5.69E-03,0.103
11.442,5.84E-03,0.103
11.475,5.90E-03,0.103
11.509,6.13E-03,0.103
11.542,6.32E-03,0.102
11.576,6.16E-03,0.102
11.609,6.36E-03,0.102
11.642,6.53E-03,0.102
11.676,6.90E-03,0.102
11.709,7.22E-03,0.102
11.742,7.54E-03,0.102
11.776,7.90E-03,0.102
11.809,8.14E-03,0.102
11.842,8.35E-03,0.102
11.876,8.62E-03,0.102
11.909,8.87E-03,0.102
11.943,9.18E-03,0.102
11.976,9.52E-03,0.102
12.009,9.84E-03,0.102
12.043,1.01E-02,0.102
12.076,1.01E-02,0.102
12.109,1.05E-02,0.102
12.143,1.04E-02,0.102
12.176,1.03E-02,0.102
12.209,1.01E-02,0.102
12.243,9.99E-03,0.102
12.276,9.92E-03,0.103
12.309,9.87E-03,0.102
12.343,9.77E-03,0.102
12.376,9.38E-03,0.102
12.41,9.26E-03,0.102
12.443,8.89E-03,0.102
12.476,8.62E-03,0.102
12.51,8.02E-03,0.102
12.543,7.94E-03,0.101
12.576,7.83E-03,0.101
12.61,7.87E-03,0.101
12.643,7.94E-03,0.101
12.676,7.94E-03,0.101
12.71,7.94E-03,0.102
12.743,8.08E-03,0.102
12.776,7.99E-03,0.102
12.81,7.90E-03,0.102
12.843,7.80E-03,0.102
12.877,7.82E-03,0.102
12.91,8.17E-03,0.102
12.943,8.13E-03,0.102
12.977,8.10E-03,0.103
13.01,7.92E-03,0.103
13.043,7.76E-03,0.103
13.077,7.38E-03,0.103
13.11,6.93E-03,0.103
13.143,6.50E-03,0.102
13.177,6.07E-03,0.103
13.21,5.64E-03,0.103
13.244,5.14E-03,0.103
13.277,4.65E-03,0.103
13.31,4.25E-03,0.103
13.344,3.62E-03,0.103
13.377,2.99E-03,0.103
13.41,2.37E-03,0.103
13.444,1.75E-03,0.103
13.477,1.24E-03,0.103
13.51,6.96E-04,0.103
13.544,3.29E-04,0.103
13.577,-6.35E-05,0.103
13.61,-3.84E-04,0.103
13.644,-6.89E-04,0.103
