,,
t,x,y
15.645,-7.00E-02,-2.94E-01
15.679,-7.00E-02,-2.94E-01
15.712,-6.99E-02,-2.94E-01
15.745,-6.96E-02,-2.94E-01
15.779,-6.94E-02,-2.94E-01
15.812,-6.95E-02,-2.93E-01
15.846,-6.94E-02,-2.93E-01
15.879,-6.89E-02,-2.94E-01
15.912,-6.86E-02,-2.94E-01
15.946,-6.82E-02,-2.94E-01
15.979,-6.76E-02,-2.94E-01
16.012,-6.70E-02,-2.94E-01
16.046,-6.69E-02,-2.94E-01
16.079,-6.64E-02,-2.94E-01
16.112,-6.59E-02,-2.94E-01
16.146,-6.51E-02,-2.94E-01
16.179,-6.44E-02,-2.94E-01
16.213,-6.39E-02,-2.94E-01
16.246,-6.33E-02,-2.94E-01
16.279,-6.29E-02,-2.94E-01
16.313,-6.26E-02,-2.94E-01
16.346,-6.24E-02,-2.94E-01
16.379,-6.24E-02,-2.94E-01
16.413,-6.25E-02,-2.94E-01
16.446,-6.25E-02,-2.94E-01
16.479,-6.29E-02,-2.94E-01
16.513,-6.32E-02,-2.95E-01
16.546,-6.35E-02,-2.96E-01
16.579,-6.40E-02,-2.97E-01
16.613,-6.45E-02,-2.97E-01
16.646,-6.49E-02,-2.98E-01
16.68,-6.52E-02,-2.99E-01
16.713,-6.56E-02,-2.99E-01
16.746,-6.59E-02,-3.00E-01
16.78,-6.61E-02,-3.01E-01
16.813,-6.58E-02,-3.02E-01
16.846,-6.56E-02,-3.03E-01
16.88,-6.52E-02,-3.03E-01
16.913,-6.46E-02,-3.04E-01
16.946,-6.43E-02,-3.04E-01
16.98,-6.35E-02,-3.04E-01
17.013,-6.31E-02,-3.05E-01
17.046,-6.26E-02,-3.05E-01
17.08,-6.14E-02,-3.05E-01
17.113,-6.07E-02,-3.05E-01
17.147,-6.00E-02,-3.05E-01
17.18,-5.89E-02,-3.06E-01
17.213,-5.82E-02,-3.06E-01
17.247,-5.77E-02,-3.06E-01
17.28,-5.71E-02,-3.06E-01
