,,
t,x,y
7.505,0.101,-0.19
7.539,0.101,-0.188
7.572,0.101,-0.186
7.606,0.101,-0.182
7.639,0.101,-0.181
7.672,0.101,-0.179
7.706,0.101,-0.178
7.739,0.101,-0.175
7.772,0.1,-0.174
7.806,0.1,-0.172
7.839,9.98E-02,-0.171
7.872,9.94E-02,-0.169
7.906,9.92E-02,-0.168
7.939,9.87E-02,-0.166
7.972,9.86E-02,-0.165
8.006,9.81E-02,-0.163
8.039,9.76E-02,-0.162
8.073,9.74E-02,-0.161
8.106,9.69E-02,-0.159
8.139,9.67E-02,-0.158
8.173,9.61E-02,-0.157
8.206,9.56E-02,-0.155
8.239,9.49E-02,-0.154
8.273,9.44E-02,-0.152
8.306,9.39E-02,-0.151
8.339,9.33E-02,-0.149
8.373,9.26E-02,-0.148
8.406,9.19E-02,-0.147
8.439,9.12E-02,-0.146
8.473,9.05E-02,-0.145
8.506,8.94E-02,-0.143
8.54,8.87E-02,-0.142
8.573,8.79E-02,-0.14
8.606,8.71E-02,-0.139
8.64,8.65E-02,-0.138
8.673,8.56E-02,-0.137
8.706,8.47E-02,-0.136
8.74,8.40E-02,-0.134
8.773,8.31E-02,-0.133
8.806,8.23E-02,-0.132
8.84,8.18E-02,-0.131
8.873,8.10E-02,-0.13
8.907,8.06E-02,-0.129
8.94,7.98E-02,-0.128
8.973,7.93E-02,-0.127
9.007,7.85E-02,-0.126
9.04,7.81E-02,-0.125
9.073,7.71E-02,-0.124
9.107,7.65E-02,-0.123
9.14,7.53E-02,-0.123
9.173,7.49E-02,-0.122
9.207,7.43E-02,-0.121
9.24,7.32E-02,-0.12
9.273,7.25E-02,-0.119
9.307,7.18E-02,-0.119
9.34,7.06E-02,-0.117
9.374,6.99E-02,-0.117
9.407,6.92E-02,-0.116
9.44,6.79E-02,-0.115
9.474,6.72E-02,-0.114
9.507,6.63E-02,-0.114
9.54,6.56E-02,-0.113
9.574,6.43E-02,-0.112
9.607,6.35E-02,-0.111
9.64,6.27E-02,-0.11
9.674,6.18E-02,-0.11
9.707,6.09E-02,-0.109
9.74,6.00E-02,-0.109
9.774,5.92E-02,-0.108
9.807,5.84E-02,-0.107
9.841,5.79E-02,-0.107
9.874,5.71E-02,-0.107
9.907,5.62E-02,-0.106
9.941,5.57E-02,-0.106
9.974,5.48E-02,-0.106
10.007,5.40E-02,-0.105
10.041,5.36E-02,-0.105
10.074,5.29E-02,-0.104
10.107,5.20E-02,-0.104
10.141,5.16E-02,-0.103
10.174,5.08E-02,-0.103
10.207,5.00E-02,-0.103
10.241,4.95E-02,-0.102
10.274,4.88E-02,-0.102
10.308,4.80E-02,-0.101
10.341,4.76E-02,-0.101
10.374,4.68E-02,-0.101
10.408,4.61E-02,-0.1
10.441,4.56E-02,-9.97E-02
10.474,4.49E-02,-9.94E-02
10.508,4.42E-02,-9.91E-02
10.541,4.36E-02,-9.88E-02
10.574,4.30E-02,-9.85E-02
10.608,4.24E-02,-9.82E-02
10.641,4.19E-02,-9.80E-02
10.674,4.13E-02,-9.79E-02
10.708,4.08E-02,-9.77E-02
10.741,4.04E-02,-9.75E-02
10.775,3.99E-02,-9.75E-02
10.808,3.95E-02,-9.73E-02
10.841,3.90E-02,-9.73E-02
10.875,3.86E-02,-9.71E-02
10.908,3.82E-02,-9.71E-02
10.941,3.81E-02,-9.70E-02
10.975,3.78E-02,-9.69E-02
11.008,3.75E-02,-9.67E-02
11.041,3.71E-02,-9.66E-02
11.075,3.70E-02,-9.65E-02
11.108,3.66E-02,-9.63E-02
11.141,3.62E-02,-9.62E-02
11.175,3.58E-02,-9.61E-02
11.208,3.54E-02,-9.60E-02
11.242,3.51E-02,-9.59E-02
11.275,3.47E-02,-9.59E-02
11.308,3.45E-02,-9.58E-02
11.342,3.42E-02,-9.57E-02
11.375,3.38E-02,-9.55E-02
11.408,3.34E-02,-9.55E-02
11.442,3.31E-02,-9.54E-02
11.475,3.28E-02,-9.54E-02
11.508,3.25E-02,-9.53E-02
11.542,3.24E-02,-9.53E-02
11.575,3.24E-02,-9.53E-02
11.608,3.23E-02,-9.54E-02
11.642,3.22E-02,-9.54E-02
11.675,3.21E-02,-9.54E-02
11.709,3.21E-02,-9.54E-02
11.742,3.20E-02,-9.54E-02
11.775,3.21E-02,-9.54E-02
11.809,3.21E-02,-9.55E-02
11.842,3.22E-02,-9.55E-02
11.875,3.23E-02,-9.55E-02
11.909,3.25E-02,-9.55E-02
11.942,3.27E-02,-9.55E-02
11.975,3.28E-02,-9.56E-02
12.009,3.29E-02,-9.57E-02
12.042,3.29E-02,-9.57E-02
12.075,3.29E-02,-9.58E-02
12.109,3.30E-02,-9.57E-02
12.142,3.33E-02,-9.58E-02
12.176,3.34E-02,-9.59E-02
12.209,3.33E-02,-9.59E-02
12.242,3.34E-02,-9.61E-02
12.276,3.35E-02,-9.62E-02
12.309,3.36E-02,-9.63E-02
12.342,3.37E-02,-9.62E-02
12.376,3.39E-02,-9.63E-02
12.409,3.41E-02,-9.63E-02
12.442,3.44E-02,-9.63E-02
12.476,3.47E-02,-9.64E-02
12.509,3.50E-02,-9.64E-02
12.542,3.54E-02,-9.65E-02
12.576,3.58E-02,-9.64E-02
12.609,3.60E-02,-9.66E-02
12.643,3.64E-02,-9.68E-02
12.676,3.69E-02,-9.69E-02
12.709,3.75E-02,-9.70E-02
12.743,3.79E-02,-9.73E-02
